,Title,Available Globally?,Release Date,Hours Viewed
21,Love Is Blind: Season 4,Yes,2023-03-24,"229,700,000"
34,Perfect Match: Season 1,Yes,2023-02-14,"176,800,000"
183,Love Is Blind: Season 3,Yes,2022-10-19,"68,900,000"
199,Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13,"65,900,000"
265,The Circle: Season 5,Yes,2022-12-28,"54,400,000"
266,The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,"53,800,000"
306,Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,2022-12-28,"49,300,000"
357,Love Island USA: Season 2,No,,"44,800,000"
390,Too Hot to Handle: Season 4,Yes,2022-12-07,"42,600,000"
426,Too Hot to Handle: Germany: Season 1,Yes,2023-02-28,"40,200,000"
613,Indian Matchmaking: Season 3,Yes,2023-04-21,"30,600,000"
631,Love Is Blind: Brazil: Season 3 // Casamento às Cegas: Brasil: Temporada 3,Yes,2023-06-07,"30,100,000"
794,Love Is Blind: Season 1,Yes,2020-02-13,"26,200,000"
977,The Ultimatum: France: Season 1 // Ultimatum : On se marie ou c'est fini: Saison 1,Yes,2022-12-30,"21,900,000"
1138,Love Is Blind: Season 2,Yes,2022-02-11,"18,900,000"
1363,The Ultimatum: Marry or Move On: Season 1,Yes,2022-04-06,"15,900,000"
1391,Love Island USA: Season 1,No,,"15,400,000"
1563,Too Hot to Handle: Season 1,Yes,2020-04-17,"13,500,000"
1573,Single’s Inferno: Season 1 // 솔로지옥: 시즌 1,Yes,2021-12-18,"13,400,000"
1806,Too Hot to Handle: Season 2,Yes,2021-06-23,"11,600,000"
1816,Love Is Blind: Brazil: Season 1 // Casamento às Cegas: Brasil: Temporada 1,Yes,2021-10-06,"11,500,000"
2028,Too Hot to Handle: Season 3,Yes,2022-01-19,"10,200,000"
2216,Dated and Related: Season 1,Yes,2022-09-02,"9,100,000"
2582,The Circle: Season 1,Yes,2020-01-01,"7,700,000"
2599,Indian Matchmaking: Season 1,Yes,2020-07-16,"7,600,000"
2675,Indian Matchmaking: Season 2,Yes,2022-08-10,"7,300,000"
3051,The Circle: Season 2,Yes,2021-04-14,"6,200,000"
3160,The Circle: Season 4,Yes,2022-05-04,"5,900,000"
3202,The Circle: Season 3,Yes,2021-09-08,"5,800,000"
3753,Love is Blind: Japan: Season 1 // ラブ・イズ・ブラインド JAPAN: シーズン1,Yes,2022-02-08,"4,700,000"
3776,Too Hot to Handle: Brazil: Season 1 // Brincando com Fogo: Brasil: Temporada 1,Yes,2021-07-21,"4,700,000"
4668,Love on the Spectrum: Season 1,Yes,2022-05-18,"3,200,000"
4696,Too Hot to Handle: Brazil: Season 2 // Brincando com Fogo: Brasil: Temporada 2,Yes,2022-09-28,"3,200,000"
4746,Love Island Australia: Season 4,No,,"3,100,000"
4787,Too Hot To Handle: Latino: Season 1 // Jugando con fuego: Latino: Temporada 1,Yes,2021-09-15,"3,100,000"
5050,The Perfect Match: Season 1 // 極品絕配: 第 1 季 // 极品绝配: 第 1 季,Yes,,"2,800,000"
5568,Love on the Spectrum: Australia: Season 2,Yes,2021-09-21,"2,300,000"
5735,The Perfect Match (2016),No,,"2,200,000"
6619,The Circle,No,2017-06-30,"1,600,000"
6952,Love on the Spectrum: Australia: Season 1,Yes,2020-07-22,"1,400,000"
8051,Sexy Beasts: Season 2,Yes,2021-10-07,"1,000,000"
8070,The Circle France: Season 1 // The Circle Game: Saison 1,No,2020-04-09,"1,000,000"
8308,Love Island USA: Season 4,No,,"900,000"
8806,The Circle Brazil: Season 1 // The Circle Brasil: Temporada 1,No,2020-03-11,"800,000"
9458,Dating Around: Season 2,Yes,2020-06-12,"600,000"
9718,Sexy Beasts: Season 1,Yes,2021-07-21,"600,000"
10204,Love Island Australia: Season 1,No,,"500,000"
10936,Love Island Australia: Season 3,No,,"400,000"
11591,Dating Around: Season 1,Yes,2019-02-14,"300,000"
11907,Love Island Australia: Season 2,No,,"300,000"
12852,Dating Around: Brazil: Season 1 // O Crush Perfeito: Temporada 1,Yes,2020-07-10,"200,000"
13391,Love Is Blind (2016),No,,"200,000"
13393,Love Island USA: Season 3,No,,"200,000"
17766,The Ultimatum: Season 1 // 双子星: 第 1 季,No,,"100,000"
